id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	dog	cat	q40_12	q34#11	q34#12	q34#13	q34#14	q34#15	q34#16	q34#17	q34#18	q34#19	q34#20	q34#21	q34#22	q34#23	q34#24	q34#25	q34#26	q34#27	q34#28	q34#29
39	62	5	15	3	3	2	1	1	2	2	3	2	1	17	1	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
40	72	2	14	5	1	1	2	2	4	2	4	2	2	19	1	3	1	0	6	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
41	62	5	16	2	1	2	3	2	2	1	3	2	2	19	1	8	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
42	31	2	13	6	1	2	2	2	5	2	1	6	2	21	1	4	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	42	4	17	1	2	2	3	2	6	2	1	9	2	22	1	3	0	0	6	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
44	62	3	14	7	1	1	3	2	5	2	4	7	2	31	1	3	0	0	6	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0
45	11	6	14	3	1	1	3	2	6	2	1	9	2	21	1	3	0	0	6	0	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0
46	32	2	14	3	1	2	1	2	4	2	4	2	2	15	1	3	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
47	42	4	14	4	1	2	1	2	2	1	4	7	2	18	1	1	0	0	6	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0
48	11	6	14	3	1	1	1	1	3	2	2	2	1	16	1	3	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	21	1	13	4	1	1	1	2	5	2	3	2	1	17	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
50	61	3	15	3	1	1	2	2	6	2	1	9	1	20	1	2	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0
51	11	6	14	5	1	1	3	1	1	1	1	1	2	31	1	3	0	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
52	81	5	15	3	1	2	1	1	3	3	2	2	1	19	1	2	0	0	6	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
53	52	3	14	4	1	2	1	2	4	2	3	6	2	20	1	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	71	4	14	3	1	1	2	1	6	4	4	9	2	19	1	6	0	0	6	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
55	31	2	17	3	1	1	2	2	3	2	1	2	2	21	1	3	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	0	0	0	0
56	71	3	17	1	3	2	1	2	6	2	1	9	2	21	1	3	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
57	71	2	14	2	1	2	1	2	2	3	4	2	2	19	1	3	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0
58	61	2	16	3	1	1	1	2	4	2	2	6	2	27	1	3	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	52	4	16	2	1	2	2	2	6	2	3	2	2	19	1	6	0	0	6	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0
60	52	5	14	4	1	1	1	2	4	2	2	2	1	19	1	6	0	0	6	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
61	11	6	13	5	1	1	1	2	1	1	3	1	1	29	1	1	0	0	6	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
62	81	2	13	3	2	1	2	1	6	2	4	2	1	14	1	6	0	0	6	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
63	72	4	13	5	1	1	1	1	5	2	2	4	1	13	1	2	1	0	3	0	0	0	1	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0
64	72	4	15	1	1	2	1	2	6	2	1	2	2	19	1	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
65	42	4	13	4	1	2	2	2	5	2	4	2	2	16	1	6	0	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
66	72	3	14	2	 	2	2	1	6	4	3	2	1	16	1	3	0	0	5	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
67	42	1	14	2	2	2	1	1	6	2	2	2	1	15	1	8	0	0	6	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
68	21	2	17	3	5	2	3	2	6	5	1	9	2	23	1	4	0	0	6	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0
69	72	3	14	4	1	1	1	2	4	2	4	2	2	16	1	6	1	0	1	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0
70	32	2	14	4	1	1	1	2	4	2	2	6	2	21	1	6	0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
71	72	1	17	4	2	2	1	2	1	1	2	2	2	23	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
72	11	6	12	7	1	2	2	2	4	2	1	6	2	15	1	3	0	0	6	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
73	81	1	14	4	1	2	1	2	4	2	4	6	1	22	1	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
74	21	3	13	4	1	2	1	1	6	2	2	2	1	16	1	1	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
75	32	1	16	3	1	1	2	2	5	2	2	2	2	19	1	3	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76	21	2	14	2	1	1	2	2	2	1	1	1	2	 	1	6	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	61	4	18	2	3	1	1	2	5	2	1	9	1	29	1	2	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	11	6	15	4	1	2	3	2	5	2	1	2	2	20	1	5	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
79	61	1	11	8	1	1	2	2	3	2	4	2	2	17	1	6	1	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
80	81	5	14	4	1	2	2	1	2	1	1	2	2	 	1	2	0	0	6	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
81	53	3	11	4	1	2	2	2	5	2	4	2	1	12	1	6	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
82	61	4	19	4	1	2	2	1	5	2	2	2	1	 	1	1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
83	81	4	20	3	1	2	2	2	4	2	3	4	2	20	1	3	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
84	31	2	13	3	1	2	1	1	1	1	3	2	1	15	1	8	0	0	6	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
85	62	1	14	3	1	2	2	1	2	2	2	2	1	16	1	3	1	1	5	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0
86	51	2	14	3	1	2	1	1	4	3	4	4	2	16	1	6	0	0	5	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0
87	53	2	16	4	1	2	3	2	4	2	1	2	1	19	1	6	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
88	21	1	15	2	1	2	1	1	3	3	1	4	1	15	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
89	71	2	15	6	1	2	3	2	2	1	4	7	2	 	1	6	1	1	2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
90	62	1	15	3	1	1	2	2	5	2	1	2	2	22	1	3	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
91	62	4	15	4	1	1	1	1	5	2	3	2	1	16	1	6	0	0	6	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0
92	21	3	14	3	1	2	1	1	4	2	3	2	1	15	1	3	0	0	6	0	0	0	1	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0
93	81	1	14	2	1	1	1	1	3	2	4	2	1	16	1	2	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	53	2	16	4	1	2	2	2	5	2	3	2	1	17	1	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
95	11	6	15	4	1	1	1	2	2	3	4	1	1	 	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
96	32	1	16	4	1	1	1	2	6	2	2	9	2	22	1	6	1	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0
97	51	1	14	5	1	1	2	2	6	2	3	9	2	23	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
98	53	1	14	2	1	2	1	2	1	3	2	2	2	22	1	6	1	0	6	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0
99	51	2	18	4	1	1	1	1	4	2	2	4	1	19	1	8	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	31	5	14	4	1	1	2	1	4	2	2	2	1	17	1	1	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
101	42	4	13	4	1	2	2	1	1	1	3	2	2	20	1	5	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
102	81	3	13	3	1	1	1	1	6	2	4	2	1	16	1	3	0	0	6	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0
103	11	6	14	4	1	1	2	1	1	1	3	1	1	 	1	8	0	0	4	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
104	62	2	13	4	1	2	2	1	1	1	3	1	1	17	1	3	1	1	6	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
105	41	4	13	4	1	1	2	1	1	1	3	1	2	31	1	7	0	0	6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
106	61	4	17	4	1	2	1	1	5	2	2	2	1	18	1	5	0	0	6	0	0	0	1	0	1	0	1	0	1	1	0	0	1	0	0	0	0	0
107	42	4	14	2	2	2	1	2	6	2	3	2	2	16	1	3	0	0	6	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0
108	11	6	14	2	1	1	1	2	2	1	4	1	1	19	1	6	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
109	81	2	14	5	1	2	2	2	2	1	3	1	2	 	1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
110	31	2	17	2	1	1	3	1	3	1	1	2	1	19	1	4	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
111	62	2	13	6	1	2	2	2	4	4	1	7	2	19	1	6	1	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	72	2	13	4	1	1	1	1	1	1	1	1	2	31	1	5	1	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
113	11	6	14	3	4	1	1	1	2	1	4	1	2	25	1	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
114	61	1	15	5	1	2	1	2	1	1	1	1	2	 	1	3	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
115	81	5	18	3	1	2	3	2	4	4	1	6	1	19	1	6	1	0	3	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
116	53	3	15	6	1	2	1	2	1	1	2	2	2	 	1	6	1	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
117	42	3	15	6	1	1	1	2	5	2	1	6	2	22	1	6	1	1	1	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
118	51	5	19	2	1	2	1	1	6	2	4	7	1	19	1	6	0	0	6	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0
119	52	3	15	3	1	2	1	2	6	5	2	4	1	18	1	3	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0
120	51	2	14	3	1	1	3	1	3	3	2	2	2	18	1	2	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
121	81	4	13	4	1	2	2	1	6	2	2	2	2	16	1	1	0	0	6	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0
122	81	4	14	3	1	1	1	2	5	2	2	2	2	19	1	3	0	0	6	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0
123	41	3	14	5	1	1	1	2	1	1	3	1	1	 	1	5	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0
